gene_short_name,A_1,A_2,A_3,B_1,B_2,B_3,C_1,C_2,C_3,D_1,D_2,D_3
ZNF235(72of128),3.92005,3.83401,4.71897,4.225645,3.84813,4.270675,4.3784425,3.85519,4.0465275,4.53124,3.86225,3.82238
DOCK11(4of6),1.29332,1.29238,1.0244,1.37379,1.244195,1.473155,1.414025,1.2201025,1.6975325,1.45426,1.19601,1.92191
FLRT2,4.14637,6.09982,1.9349,3.11275,4.352705,2.49097,2.59594,3.4791475,2.769005,2.07913,2.60559,3.04704
CCDC132,4.47666,4.16031,5.53971,4.95612,5.207125,6.149,5.19585,5.7305325,6.453645,5.43558,6.25394,6.75829
CPSF6,6.10473,6.55447,6.32937,5.87774,6.021905,6.112535,5.764245,5.7556225,6.0041175,5.65075,5.48934,5.8957
BACE1(3of3),2.89315,3.25891,2.46987,2.85727,3.19099,2.66106,2.83933,3.15703,2.756655,2.82139,3.12307,2.85225
SI:DKEY-260C8.8(2of2),1.18098,1.31047,1.57618,1.38978,1.089416,1.220478,1.49418,0.978889,1.042627,1.59858,0.868362,0.864776
RIMS1(4of5),1.56104,2.3434,1.43036,1.983405,2.113285,1.672665,2.1945875,1.9982275,1.7938175,2.40577,1.88317,1.91497
UBXN2A,12.3337,11.0684,10.3797,10.06589,9.038715,9.50016,8.931985,8.0238725,9.06039,7.79808,7.00903,8.62062
ATAD2B(1of3),2.55574,3.08126,2.37915,2.155685,2.165085,1.800545,1.9556575,1.7069975,1.5112425,1.75563,1.24891,1.22194
PHF2(2of3),2.0665,1.2903,1.55244,1.79339,1.260005,1.628105,1.656835,1.2448575,1.6659375,1.52028,1.22971,1.70377
TOX2(1of3),1.74621,1.59452,1.61414,2.531305,2.31711,2.370795,2.9238525,2.678405,2.7491225,3.3164,3.0397,3.12745
ZGC:92107(2of2),2.82432,2.90789,2.51528,2.9201,2.83319,2.912565,2.96799,2.79584,3.1112075,3.01588,2.75849,3.30985
CEP250(1of2),2.06061,1.96351,1.42253,2.20528,2.31601,2.2614,2.277615,2.49226,2.680835,2.34995,2.66851,3.10027
FGD6(2of3),4.8999,3.70902,4.63688,4.685125,4.719785,3.975485,4.5777375,5.2251675,3.6447875,4.47035,5.73055,3.31409
MARS,10.3965,10.4242,8.90089,8.470905,8.41342,6.68293,7.5081075,7.40803,5.57395,6.54531,6.40264,4.46497
DCTN2,35.1383,32.3907,35.4904,31.52305,30.7221,30.00465,29.715425,29.8878,27.261775,27.9078,29.0535,24.5189
DDIT3,36.966,44.2818,49.6238,41.93405,43.3531,56.0966,44.418075,42.88875,59.333,46.9021,42.4244,62.5694
NAPG,12.1253,9.91679,10.9618,11.3743,10.573195,9.68018,10.9988,10.9013975,9.03937,10.6233,11.2296,8.39856
PIGF,25.8902,26.3996,28.5559,28.30785,26.65435,28.13205,29.516675,26.781725,27.920125,30.7255,26.9091,27.7082
TRIM39(10of17),6.97132,6.09203,6.65098,8.14653,8.00446,8.243815,8.734135,8.960675,9.0402325,9.32174,9.91689,9.83665
CYB5R4,1.52569,1.1031,1.27514,1.528545,1.09357,1.213785,1.5299725,1.088805,1.1831075,1.5314,1.08404,1.15243
CAMK2G(5of6),12.3508,13.3258,13.8601,10.558635,11.5493,12.5919,9.6625525,10.66105,11.9578,8.76647,9.7728,11.3237
SI:CH73-127M5.1,19.3998,21.3623,16.8743,13.34383,21.20345,19.52415,10.315845,21.124025,20.849075,7.28786,21.0446,22.174
CRIPT,52.7373,53.9218,63.8742,55.53605,59.9734,64.2772,56.935425,62.9992,64.4787,58.3348,66.025,64.6802
COX7A3(1of2),117.59,117.991,131.907,134.978,134.7105,137.4395,143.672,143.07025,140.20575,152.366,151.43,142.972
STAG2(1of2),1.41711,1.74636,1.6983,1.49919,1.861565,1.93054,1.54023,1.9191675,2.04666,1.58127,1.97677,2.16278
PPP2R3B(1of2),40.5565,35.669,40.8855,34.9616,30.5252,37.69115,32.16415,27.9533,36.093975,29.3667,25.3814,34.4968
TIMELESS(1of2),1.36267,1.97531,3.09023,1.096865,1.0790935,1.783802,0.9639625,0.63098525,1.130588,0.83106,0.182877,0.477374
IFRD1,66.4893,67.9547,77.9002,81.8525,77.8376,85.1054,89.5341,82.77905,88.708,97.2157,87.7205,92.3106
KIAA1009(2of2),1.02209,1.10637,1.54949,1.187915,1.149365,1.52944,1.2708275,1.1708625,1.519415,1.35374,1.19236,1.50939
EIF2B4,17.6412,17.3185,17.9357,16.21115,16.17535,17.4791,15.496125,15.603775,17.2508,14.7811,15.0322,17.0225
ZNF513(1of3),1.09545,1.10517,0.876897,1.17395,1.194115,0.9772785,1.2132,1.2385875,1.02746925,1.25245,1.28306,1.07766
ATRAID,6.29408,6.67271,5.8818,6.14937,6.449405,5.79155,6.077015,6.3377525,5.746425,6.00466,6.2261,5.7013
SETD1A(1of2),3.67876,3.71578,3.29488,3.756415,3.515075,3.494265,3.7952425,3.4147225,3.5939575,3.83407,3.31437,3.69365
CCDC47,52.2832,48.0581,46.0834,46.32915,44.94425,42.2757,43.352125,43.387325,40.37185,40.3751,41.8304,38.468
DCAF7(1of3),3.64674,3.65205,3.1094,3.35853,3.32741,2.934405,3.214425,3.16509,2.8469075,3.07032,3.00277,2.75941
DCAF7(3of3),14.6255,14.0082,15.9458,14.83245,15.2298,16.4313,14.935925,15.8406,16.67405,15.0394,16.4514,16.9168
CCDC106B(4of8),5.56363,3.98713,3.01068,3.873745,3.56683,3.28522,3.0288025,3.35668,3.42249,2.18386,3.14653,3.55976
CLASRP,5.8279,5.91086,5.50404,4.80133,5.2646,5.437915,4.288045,4.94147,5.4048525,3.77476,4.61834,5.37179
RASGRF1(5of5),6.01314,0,5.38226,3.71217,0,4.77552,2.561685,0,4.47215,1.4112,0,4.16878
ALMS1,3.45554,3.92227,3.60296,3.858465,4.06414,4.26993,4.0599275,4.135075,4.603415,4.26139,4.20601,4.9369
TTC31,8.04582,10.5663,9.92086,7.315535,9.24277,8.190245,6.9503925,8.581005,7.3249375,6.58525,7.91924,6.45963
DCTN1B,8.76625,8.90266,8.62722,8.42287,8.482765,9.28181,8.25118,8.2728175,9.609105,8.07949,8.06287,9.9364
NANOS1(1of2),3.09623,2.55708,3.40029,2.05416,1.6868515,2.422735,1.533125,1.25173725,1.9339575,1.01209,0.816623,1.44518
SERAC1(2of2),10.4411,10.1592,11.3911,10.16175,10.09815,11.15625,10.022075,10.067625,11.038825,9.8824,10.0371,10.9214
NAT8(2of2),7.80921,6.92178,7.04149,7.948625,7.908825,6.80965,8.0183325,8.4023475,6.69373,8.08804,8.89587,6.57781
SLC39A14(2of3),0.47432,0.835014,0.672453,3.186305,1.962332,0.425931,4.5422975,2.525991,0.30267,5.89829,3.08965,0.179409
NAT8(1of2),11.6029,10.8271,10.3466,12.165,10.8095,11.5408,12.44605,10.8007,12.1379,12.7271,10.7919,12.735
DCTN1,1.87126,2.14648,0.829763,1.66494,1.98446,1.5973765,1.56178,1.90345,1.98118325,1.45862,1.82244,2.36499
PLXNA1(4of8),2.0627,2.76976,2.52314,3.378025,3.38797,3.167845,4.0356875,3.697075,3.4901975,4.69335,4.00618,3.81255
ATP1B1(3of3),70.0285,52.7206,49.6665,51.9654,42.4204,42.44425,42.93385,37.2703,38.833125,33.9023,32.1202,35.222
SLC7A5(3of3),2.0936,2.1257,2.0666,2.833705,1.759655,1.808975,3.2037575,1.5766325,1.6801625,3.57381,1.39361,1.55135
KLHDC4,13.8473,13.0891,13.3513,11.306,12.13665,12.1336,10.03535,11.660425,11.52475,8.7647,11.1842,10.9159
ZNF226(8of9),16.2078,14.3386,12.3739,15.3098,15.2258,12.7463,14.8608,15.6694,12.9325,14.4118,16.113,13.1187
ZNF226(8of9),24.6143,24.1042,23.1936,24.061,27.1871,24.28845,23.78435,28.72855,24.835875,23.5077,30.27,25.3833
ZNF226(8of9),56.9869,34.3924,38.6193,46.12765,37.76575,38.38325,40.698025,39.452425,38.265225,35.2684,41.1391,38.1472
GTF2H5,21.346,18.4161,23.3109,19.77835,18.75035,19.6006,18.994525,18.917475,17.74545,18.2107,19.0846,15.8903
GPRC5C,11.0655,9.71019,12.6819,14.77555,14.692495,19.6558,16.630575,17.1836475,23.14275,18.4856,19.6748,26.6297
OXLD1,30.8821,25.9204,30.6492,30.3823,26.16115,30.9334,30.1324,26.281525,31.0755,29.8825,26.4019,31.2176
MYCT1(1of2),122.5,117.711,118.499,89.9445,97.19215,85.4519,73.66675,86.932725,68.92835,57.389,76.6733,52.4048
MAP2K6(2of2),2.52425,2.69686,3.69169,2.38587,2.452815,3.599875,2.31668,2.3307925,3.5539675,2.24749,2.20877,3.50806
CHD9(3of3),9.8471,11.1675,8.44078,10.0789,10.387705,9.16502,10.1948,9.9978075,9.52714,10.3107,9.60791,9.88926
CSTF1,11.3335,11.2458,11.0013,9.790235,9.1984,8.671005,9.0186025,8.1747,7.5058575,8.24697,7.151,6.34071
VAMP4(1of2),5.27557,4.60389,5.44048,4.920195,4.832615,4.85489,4.7425075,4.9469775,4.562095,4.56482,5.06134,4.2693
RANGRF,4.87207,4.54602,4.54014,4.213825,5.192895,4.24831,3.8847025,5.5163325,4.102395,3.55558,5.83977,3.95648
TUBGCP6,1.92216,1.974,2.14027,1.998935,1.95806,2.29209,2.0373225,1.95009,2.368,2.07571,1.94212,2.44391
LY6G6F,0.560019,0.462884,0.530019,0.9883345,2.684062,0.6553335,1.20249225,3.794651,0.71799075,1.41665,4.90524,0.780648
PLXNB2(1of3),10.0594,11.4855,11.3063,14.70575,12.68895,12.2252,17.028925,13.290675,12.68465,19.3521,13.8924,13.1441
APPL2,4.25527,3.89318,5.25766,4.15792,4.569075,6.362,4.109245,4.9070225,6.91417,4.06057,5.24497,7.46634
HDAC7,7.29325,7.98696,8.53399,8.722675,9.55263,10.771645,9.4373875,10.335465,11.8904725,10.1521,11.1183,13.0093
MID2(2of2),4.98972,5.29985,6.28251,5.26176,5.64629,5.93663,5.39778,5.81951,5.76369,5.5338,5.99273,5.59075
BCL11AB,2.06961,2.81498,2.67578,2.57604,2.494165,3.06555,2.829255,2.3337575,3.260435,3.08247,2.17335,3.45532
MTHFR,7.47461,7.8252,6.53076,6.233735,6.83593,5.931655,5.6132975,6.341295,5.6321025,4.99286,5.84666,5.33255
SLC38A5B(2of2),23.6851,29.5068,21.9602,25.40165,26.09935,29.63115,26.259925,24.395625,33.466625,27.1182,22.6919,37.3021
KMT2CB,3.54505,4.09822,2.83295,3.915975,3.87036,3.39358,4.1014375,3.75643,3.673895,4.2869,3.6425,3.95421
PRKAG2B,50.0164,44.8174,56.6034,40.76615,36.3054,48.64165,36.141025,32.0494,44.660775,31.5159,27.7934,40.6799
ZNF568(3of11),2.02259,1.89759,1.42002,1.921605,1.82166,1.546395,1.8711125,1.783695,1.6095825,1.82062,1.74573,1.67277
ZNF84(3of5),3.1292,3.60936,3.7256,3.90129,3.85615,4.279305,4.287335,3.979545,4.5561575,4.67338,4.10294,4.83301
ZGC:73380,21.0184,18.9972,21.3473,21.1451,18.6934,19.4143,21.20845,18.5415,18.4478,21.2718,18.3896,17.4813
GOLPH3,15.0246,13.6633,13.9886,14.0775,13.1857,12.26305,13.60395,12.9469,11.400275,13.1304,12.7081,10.5375
RXRBA(1of2),15.09,15.5046,12.1128,12.596,12.48165,10.32955,11.349,10.970175,9.437925,10.102,9.4587,8.5463
FRMD4B(1of3),2.78867,2.08698,2.83489,2.261715,2.10821,2.020025,1.9982375,2.118825,1.6125925,1.73476,2.12944,1.20516
MPDU1,0.840018,1.08233,1.33115,0.984869,1.13853,1.277685,1.0572945,1.16663,1.2509525,1.12972,1.19473,1.22422
SLC25A15B(1of2),2.19789,1.96723,2.15097,1.836735,1.65802,1.9196,1.6561575,1.503415,1.803915,1.47558,1.34881,1.68823
SI:CH211-137I24.10(1of2),0.691509,0.322485,0.777375,0.702487,0.9673175,0.767604,0.707976,1.28973375,0.7627185,0.713465,1.61215,0.757833
BNC2(2of3),1.37955,1.49707,1.62925,1.583585,1.326295,1.652625,1.6856025,1.2409075,1.6643125,1.78762,1.15552,1.676
PPP1CC,49.8067,47.3971,51.0619,44.52415,39.22905,47.1055,41.882875,35.145025,45.1273,39.2416,31.061,43.1491
BRINP2,2.26397,2.33435,0.353477,1.2448215,1.2418625,1.0220335,0.73524725,0.69561875,1.35631175,0.225673,0.149375,1.69059
BRCC3,12.6822,13.2368,10.4947,11.0142,11.791,9.816615,10.1802,11.0681,9.4775725,9.3462,10.3452,9.13853
ATE1(2of3),8.48918,6.62167,7.68725,8.257225,7.006525,7.587795,8.1412475,7.1989525,7.5380675,8.02527,7.39138,7.48834
PNP5A,12.4652,11.8557,11.8367,8.96995,10.38008,10.95665,7.222325,9.64227,10.516625,5.4747,8.90446,10.0766
CAPN1(4of5),11.3052,9.18446,12.5501,11.0012,11.19143,12.4858,10.8492,12.194915,12.45365,10.6972,13.1984,12.4215
UBE2L3(3of3),25.4464,22.5621,20.2091,22.8852,21.3707,20.1482,21.6046,20.775,20.11775,20.324,20.1793,20.0873
PLXNB2(3of3),7.80906,8.3021,6.83029,7.343335,7.174385,5.88379,7.1104725,6.6105275,5.41054,6.87761,6.04667,4.93729
MDM2,11.1524,11.1148,10.697,11.59525,11.986,13.27385,11.816675,12.4216,14.562275,12.0381,12.8572,15.8507
NUP107(1of2),17.0464,17.9967,18.1126,15.13805,14.70815,15.7235,14.183875,13.063875,14.52895,13.2297,11.4196,13.3344
TNIP2,1.97794,2.7526,2.79736,4.20684,3.77546,2.583095,5.32129,4.28689,2.4759625,6.43574,4.79832,2.36883
ZNF462(1of2),4.16815,4.08151,3.80313,3.79308,3.829165,3.60954,3.605545,3.7029925,3.512745,3.41801,3.57682,3.41595
SECISBP2,11.8752,11.8622,11.1024,11.1776,11.5519,11.37025,10.8288,11.39675,11.504175,10.48,11.2416,11.6381
MFSD10,5.74632,4.3826,5.96104,6.727605,6.529815,6.923135,7.2182475,7.6034225,7.4041825,7.70889,8.67703,7.88523
MALT1B,1.52622,1.89372,1.84083,2.38688,2.614745,2.163495,2.81721,2.9752575,2.3248275,3.24754,3.33577,2.48616
MTHFSD,6.4623,5.1086,6.76464,7.652225,6.95577,7.615775,8.2471875,7.879355,8.0413425,8.84215,8.80294,8.46691
GLDC,2.61162,2.15394,1.35087,1.913285,2.17459,1.657625,1.5641175,2.184915,1.8110025,1.21495,2.19524,1.96438
BX004857.1(2of3),4.06847,2.9598,4.47758,3.834595,3.459815,3.086305,3.7176575,3.7098225,2.3906675,3.60072,3.95983,1.69503
CEP290(4of4),1.64203,1.74378,1.59662,1.451855,1.67513,1.88548,1.3567675,1.640805,2.02991,1.26168,1.60648,2.17434
ZGC:103499,8.56545,9.97876,8.41066,8.9803,10.23788,9.60858,9.187725,10.36744,10.20754,9.39515,10.497,10.8065
LYVE1(1of2),52.2016,60.8144,54.5604,48.4718,52.046,44.8557,46.6069,47.6618,40.00335,44.742,43.2776,35.151
ARRDC1A(1of2),2.77525,3.57184,1.82321,1.8538385,2.553215,1.848045,1.39313275,2.0439025,1.8604625,0.932427,1.53459,1.87288
SI:CH211-264F5.6,1.03014,1.13318,1.19364,1.601,2.30773,1.418855,1.88643,2.895005,1.5314625,2.17186,3.48228,1.64407
SCHIP1(3of4),1.86553,1.31122,2.1035,1.2912765,1.1446535,1.544151,1.00414975,1.06137025,1.2644765,0.717023,0.978087,0.984802
RSPRY1,5.25701,5.355,4.78031,5.340025,5.670645,4.669155,5.3815325,5.8284675,4.6135775,5.42304,5.98629,4.558
ANAPC13,13.6879,13.5767,17.0967,14.57265,14.44895,16.3719,15.015025,14.885075,16.0095,15.4574,15.3212,15.6471
PLCG2,6.66102,7.62186,8.14709,8.66331,9.39548,9.523595,9.664455,10.28229,10.2118475,10.6656,11.1691,10.9001
CXORF56,118.86,101.026,159.94,102.3501,94.60455,136.2445,94.09515,91.393825,124.39675,85.8402,88.1831,112.549
NUP93,16.6672,17.1938,17.3957,13.27271,13.94965,13.47838,11.575465,12.327575,11.51972,9.87822,10.7055,9.56106
PLA2G7,3.44109,3.26694,3.24361,5.072795,4.2192,4.2977,5.8886475,4.69533,4.824745,6.7045,5.17146,5.35179
INTS9,7.90781,9.07656,7.57591,7.13069,9.47974,8.771075,6.74213,9.68133,9.3686575,6.35357,9.88292,9.96624
PRKRIP1,14.2171,13.3297,14.3108,13.51025,13.2358,12.94485,13.156825,13.18885,12.261875,12.8034,13.1419,11.5789
PTPN2A(2of2),6.63606,6.09723,5.7783,6.2613,5.167645,4.443735,6.07392,4.7028525,3.7764525,5.88654,4.23806,3.10917
NDNF,1.27259,1.25364,1.75662,1.38122,1.57573,1.5424,1.435535,1.736775,1.43529,1.48985,1.89782,1.32818
CTNND2(1of3),0.811402,1.58436,0.839089,0.717713,1.57391,1.4483545,0.6708685,1.568685,1.75298725,0.624024,1.56346,2.05762
CTNND2(2of3),2.09727,2.22406,1.47694,1.623055,2.1222,2.23815,1.3859475,2.07127,2.618755,1.14884,2.02034,2.99936
DUSP2,4.98902,4.40361,5.96758,3.4787,3.75677,3.7488,2.72354,3.43335,2.63941,1.96838,3.10993,1.53002
IZUMO1,0.903176,0.59703,1.07837,0.9016445,0.89957,1.31029,0.90087875,1.05084,1.42625,0.900113,1.20211,1.54221
SI:CH211-117C19.1,33.5232,32.9053,31.2484,34.3639,32.28165,31.4872,34.78425,31.969825,31.6066,35.2046,31.658,31.726
ADRA2B(1of3),9.75647,19.3113,11.6282,11.922535,16.12875,13.1072,13.0055675,14.537475,13.8467,14.0886,12.9462,14.5862
SUPT16H,20.7706,21.0679,20.8695,18.625,18.36985,18.8371,17.5522,17.020825,17.8209,16.4794,15.6718,16.8047
ZGC:175137(2of2),2.42277,1.94487,2.20677,2.26729,2.43035,1.990575,2.18955,2.67309,1.8824775,2.11181,2.91583,1.77438
GTF2IRD1(2of3),5.78748,6.21725,5.1842,5.330465,5.6816,5.617765,5.1019575,5.413775,5.8345475,4.87345,5.14595,6.05133
C8G,67.9805,62.1581,87.4624,71.3344,53.50865,74.26485,73.01135,49.183925,67.666075,74.6883,44.8592,61.0673
PIP4K2A,14.9385,16.2436,17.4928,15.6908,15.4399,16.26055,16.06695,15.03805,15.644425,16.4431,14.6362,15.0283
GNAQ(3of5),3.4634,3.26234,3.36662,3.343445,3.27059,3.241315,3.2834675,3.274715,3.1786625,3.22349,3.27884,3.11601
CHICO(1of2),8.31025,8.0292,8.58179,8.777915,8.181815,8.893875,9.0117475,8.2581225,9.0499175,9.24558,8.33443,9.20596
ANAPC2(3of3),1.54169,0.965236,0.819491,1.160507,0.892074,0.9193805,0.9699155,0.855493,0.96932525,0.779324,0.818912,1.01927
TLE4(5of5),8.60594,12.698,9.32531,10.41542,10.312,10.748455,11.32016,9.119,11.4600275,12.2249,7.926,12.1716
SRRM2(1of2),26.6197,25.469,23.7191,24.2881,23.35775,22.14315,23.1223,22.302125,21.355175,21.9565,21.2465,20.5672
RCN3,17.8266,14.3665,20.7842,17.9565,17.3459,19.5361,18.02145,18.8356,18.91205,18.0864,20.3253,18.288
FUNDC1(2of2),85.8191,71.2096,71.9995,73.9585,68.3103,69.5569,68.0282,66.86065,68.3356,62.0979,65.411,67.1143
RAB35(1of2),33.0092,29.3978,28.8846,31.74775,30.6287,27.71105,31.117025,31.24415,27.124275,30.4863,31.8596,26.5375
SLC45A4(2of2),5.03193,5.35866,5.09048,4.40687,4.555325,4.638715,4.09434,4.1536575,4.4128325,3.78181,3.75199,4.18695
ARL6IP5,9.05344,8.11206,8.67136,9.92332,8.88157,10.01263,10.35826,9.266325,10.683265,10.7932,9.65108,11.3539
SFXN3,16.7297,15.4878,17.1785,16.0905,18.4135,15.8719,15.7709,19.87635,15.2186,15.4513,21.3392,14.5653
FAM120B(1of3),2.80319,2.29196,2.1589,2.77833,2.638975,2.43756,2.7659,2.8124825,2.57689,2.75347,2.98599,2.71622
FRMD4B(3of3),21.5975,23.7055,19.6087,20.99055,22.411,21.6153,20.687075,21.76375,22.6186,20.3836,21.1165,23.6219
TRNT1,10.1079,10.4237,8.95959,8.87645,9.43255,8.08881,8.260725,8.936975,7.65342,7.645,8.4414,7.21803
FAM213A,75.9688,66.134,77.7215,73.6806,65.79825,74.84185,72.5365,65.630375,73.402025,71.3924,65.4625,71.9622
NCAPD3(2of3),1.59052,2.94581,2.4001,2.240615,1.9234565,1.593797,2.5656625,1.41227975,1.1906455,2.89071,0.901103,0.787494
NCAPD3(3of3),1.119,1.28475,1.58345,1.404695,1.25208,1.33363,1.5475425,1.235745,1.20872,1.69039,1.21941,1.08381
FBXW4(2of2),10.5718,10.0559,11.697,9.508455,10.04935,10.711935,8.9767825,10.046075,10.2194025,8.44511,10.0428,9.72687
ZGC:64116,4.08682,3.54147,6.14803,3.924425,3.21949,4.935955,3.8432275,3.0585,4.3299175,3.76203,2.89751,3.72388
NFURG08872010002,3.29258,3.195,4.58347,2.799875,2.48985,3.444235,2.5535225,2.137275,2.8746175,2.30717,1.7847,2.305
ZFP64(1of4),3.8056,4.98788,4.90579,4.25083,4.95166,4.99827,4.473445,4.93355,5.04451,4.69606,4.91544,5.09075
SH2D4B,2.58496,1.39794,1.92567,1.934355,1.0705685,1.812265,1.6090525,0.90688275,1.7555625,1.28375,0.743197,1.69886
CXXC5,10.1866,9.39648,10.5033,9.348225,9.401495,10.6862,8.9290375,9.4040025,10.77765,8.50985,9.40651,10.8691
CAST,78.7668,72.1011,73.4038,80.183,77.7163,84.3681,80.8911,80.5239,89.85025,81.5992,83.3315,95.3324
UBE2R2(1of2),5.00369,4.58597,4.86145,6.699775,6.32562,6.440885,7.5478175,7.195445,7.2306025,8.39586,8.06527,8.02032
RHOBTB3,13.1126,14.0444,12.1161,16.07815,15.3353,14.8782,17.560925,15.98075,16.25925,19.0437,16.6262,17.6403
RFESD(2of3),14.2681,6.86112,8.64876,14.38715,6.972755,9.64353,14.446675,7.0285725,10.140915,14.5062,7.08439,10.6383
GBGT1(3of3),0.809873,0.844164,1.01285,0.9831565,1.100492,1.18773,1.06979825,1.228656,1.27517,1.15644,1.35682,1.36261
NUDT2,5.15242,4.87845,5.51065,5.89868,5.858145,6.1104,6.27181,6.3479925,6.410275,6.64494,6.83784,6.71015
ELL2,15.9879,17.4229,15.5618,16.30435,16.12715,16.21955,16.462575,15.479275,16.548425,16.6208,14.8314,16.8773
GLRX,19.3337,16.1499,19.5325,21.8296,20.08325,18.8641,23.07755,22.049925,18.5299,24.3255,24.0166,18.1957
PPM1G,25.2537,21.8142,20.4353,19.8751,19.5002,15.4412,17.1858,18.3432,12.94415,14.4965,17.1862,10.4471
RBMS3(5of5),4.81958,4.44976,3.42237,4.417385,3.67233,3.91839,4.2162875,3.283615,4.1664,4.01519,2.8949,4.41441
RBMS3(4of5),3.34625,2.36087,2.13602,2.75344,1.55879,2.492445,2.457035,1.15775,2.6706575,2.16063,0.75671,2.84887
SH3BGRL,7.06296,7.18151,9.68374,10.46628,9.510055,8.428495,12.16794,10.6743275,7.8008725,13.8696,11.8386,7.17325
NES(2of2),2.90897,1.78489,3.56388,1.454485,1.3831445,2.537345,0.7272425,1.18227175,2.0240775,0,0.981399,1.51081
NES(2of2),2.90844,0,0,3.51025,1.87195,2.041035,3.811155,2.807925,3.0615525,4.11206,3.7439,4.08207
ARNT,11.0004,11.2254,9.31168,9.669355,10.16942,8.55347,9.0038325,9.64143,8.174365,8.33831,9.11344,7.79526
ADAMTSL4(1of2),11.6221,11.9401,10.5065,13.9045,14.0669,12.15085,15.0457,15.1303,12.973025,16.1869,16.1937,13.7952
CAAP1,13.1879,12.8107,12.722,13.4188,14.5213,13.9219,13.53425,15.3766,14.52185,13.6497,16.2319,15.1218
PAK4,20.2088,23.1,18.7562,20.28905,21.2747,20.00525,20.329175,20.36205,20.629775,20.3693,19.4494,21.2543
ZGC:152863(2of2),3.21116,2.53665,3.34778,3.928465,2.49851,2.359085,4.2871175,2.47944,1.8647375,4.64577,2.46037,1.37039
VPS37A,4.92774,4.58751,4.34782,5.838525,5.316105,5.50765,6.2939175,5.6804025,6.087565,6.74931,6.0447,6.66748
MICU3(1of3),3.80196,3.13404,3.14342,3.190895,2.593315,2.85007,2.8853625,2.3229525,2.703395,2.57983,2.05259,2.55672
NSMCE1,12.3647,10.4992,14.3884,12.45035,11.6476,12.4684,12.493175,12.2218,11.5084,12.536,12.796,10.5484
NUCKS1A,34.8512,32.7935,33.4945,30.35415,29.05465,31.28965,28.105625,27.185225,30.187225,25.8571,25.3158,29.0848
NLK(3of3),5.96439,6.27349,4.93747,5.376195,4.74767,4.70281,5.0820975,3.98476,4.58548,4.788,3.22185,4.46815
DHRS7CA,7.30656,7.31086,9.25408,8.07295,8.39598,9.45509,8.456145,8.93854,9.555595,8.83934,9.4811,9.6561
RNF141,13.6087,14.9911,10.5938,13.1537,13.80225,11.6921,12.9262,13.207825,12.24125,12.6987,12.6134,12.7904
KCNK5B,1.50191,0.919087,1.02726,1.66665,1.5272735,1.531105,1.74902,1.83136675,1.7830275,1.83139,2.13546,2.03495
AIF1,3.13312,5.56301,4.70826,11.29906,9.814005,4.13107,15.38203,11.9395025,3.842475,19.465,14.065,3.55388
CK2B(2of2),20.0403,18.8175,19.8354,18.69695,19.04355,17.57745,18.025275,19.156575,16.448475,17.3536,19.2696,15.3195
HCST,0.24643,0.216248,0.0892959,0.455732,1.378669,0.16360045,0.560383,1.9598795,0.200752725,0.665034,2.54109,0.237905
EPB41B,6.26389,3.62728,3.54169,6.8046,3.533525,5.11141,7.074955,3.4866475,5.89627,7.34531,3.43977,6.68113
C7A,10.3664,11.026,11.3732,11.3392,8.41039,9.44903,11.8256,7.102585,8.486945,12.312,5.79478,7.52486
